Repository,Commit Hash,Characters Added,Characters Removed,Lines Added,Lines Removed,Characters Changed,Lines Changed
atom,090bbf9e77fb1e75858aea0312a8b166cafcfab2,6,35,1,2,41,3
atom,1fc23c3a4fab2c30bbce0105826841bac1332edd,3,20,1,1,23,2
atom,27e9ab8d32b4e3a9a54cb0711f184e7973c83ec1,70,87,1,3,157,4
atom,2a5f7e20c358c6534f4a383feabcc1068cb8c44b,0,22,2,2,22,4
atom,2fa2feacafa95a82e363e8b036f2ad95f08d5227,68,14,1,1,82,2
atom,4f9bd50aced23e48c709b99c7dd51b01ff8a50bf,164,0,4,0,164,4
atom,5325490a35b461a7c5ff805de21ba9558def24cf,6,0,1,1,6,2
atom,9648d8b82fdb06cfaf3f8dcc14e910d06c742eb1,17,21,2,2,38,4
atom,9cbc801eeb16cbedac671cbaf3c912b0f0cfcdb3,4,0,1,1,4,2
atom,a082be3c8c1f88c45cbded55f96680e6aca5f806,28,30,2,2,58,4
atom,b19db0f0c0a7a6f5ea108ca2891a011e11cd66e8,101,0,4,0,101,4
babel,5ff7e59a0a3497d76e39aeedfef14cfdb05072f9,0,56,0,1,56,1
babel,66ea5342de56e012128739121c1f66bab21c4013,37,0,1,0,37,1
babel,999baf2888a9cedbc641c058049bb9c197961beb,2,31,2,2,33,4
babel,aa9b3ec2a8803e0779d1196666348e72b615d60e,50,44,1,1,94,2
babel,b670ee18df657946037e94896c0de7ad5618bf15,31,0,1,1,31,2
babel,c5bbf91892db71f02ef6cbf8b7ad262930dc0005,23,31,2,2,54,4
babel,c907f8703a918c1ba8b18ab7dd274dd44c6a743e,61,4,1,1,65,2
backbone,0cdc525961d3fa98e810ffae6bcc8e3838e36d93,19,0,1,1,19,2
backbone,10230e4d76e21f08a1dee1fe5d28994e2cf5f11d,0,2,1,1,2,2
backbone,1a06f9a21584673b468d410f53b599e1f53435ae,22,8,1,1,30,2
backbone,21fa0aa6a276fcced53fba384d926c13aa00d6a9,2,0,1,1,2,2
backbone,2eabf0450c44dc822ac37e53a1cd1ce7474f5b53,1,0,1,1,1,2
backbone,42d3588b73fc2158537f0e8006601a12c447ff7a,43,47,2,2,90,4
backbone,44629daacc1ee556bdf62deb92701f714f321126,20,0,1,1,20,2
backbone,49804535dc4bfd3bcc0c29a676080059e73059b8,2,2,1,1,4,2
backbone,4da25a48a6544f9781862a7b1096300ae0b334c7,4,0,2,2,4,4
backbone,5573ef72caba989a44ed4094f584b6878fa65e03,81,2,3,1,83,4
backbone,82c288c91e9c3781e3afeedf1aa30626e6f9a788,47,0,1,1,47,2
backbone,8711f3c781657ec6f640678452f3c5ed49bea70b,8,1,1,1,9,2
backbone,8ffdd09b52394786da0ee0a2a20ac54667c90597,1,0,1,1,1,2
backbone,a5d01f91fe7d3f438fba7fe1334732f8bea88526,61,61,2,2,122,4
backbone,f79e0bcf5327238f5baabf606260ee610c61f02a,18,0,1,1,18,2
backbone,fd78dbf14eeacd69836ed4f681192ab91ee2a361,0,1,1,1,1,2
cli,006914514b3625165d8e1857965dcbf3b8031e3f,120,47,2,1,167,3
cli,0d8eb9f4e1efcb393ee040106b81c4de9a754cf9,19,0,1,1,19,2
cli,0f87f5ed28960d962f34977953561d22983da4f9,0,4,1,1,4,2
cli,13d0cb4adfd59876b8a3d6792bce6e40cda82fa7,52,0,1,0,52,1
